,Package Name,Access,Summary,Updated
80,pylhe,public,A small package to get structured data out of Les Houches Event files,2025-07-02
81,tracy-profiler,public,"A real time, nanosecond resolution, remote telemetry, hybrid frame and sampling profiler for games and other applications.",2025-07-02
82,tracy-profiler-client-python,public,"A real time, nanosecond resolution, remote telemetry, hybrid frame and sampling profiler for games and other applications.",2025-07-02
83,tracy-profiler-gui,public,"A real time, nanosecond resolution, remote telemetry, hybrid frame and sampling profiler for games and other applications.",2025-07-02
84,tracy-profiler-client,public,"A real time, nanosecond resolution, remote telemetry, hybrid frame and sampling profiler for games and other applications.",2025-07-02
85,rpds-py,public,Python bindings to Rust's persistent data structures (rpds),2025-07-02
86,libopenvino-python,public,OpenVINO Python API,2025-07-02
87,fans,public,"FANS: an open-source, efficient, and parallel FFT-based homogenization solver designed to solve microscale multiphysics problems.",2025-07-02
88,wagtail-grapple,public,A Wagtail package that speeds up and simplifies implementing a GraphQL endpoint!,2025-07-02
89,natcap.invest,public,InVEST: models that map and value the goods and services from nature that sustain and fulfill human life.,2025-07-02
90,bases,public,Python library for general Base-N encodings.,2025-07-02
91,ruff,public,"An extremely fast Python linter, written in Rust.",2025-07-02
92,granian,public,A Rust HTTP server for Python applications,2025-07-02
93,lamindb_setup,public,Setup & configure LaminDB.,2025-07-02
94,gettext-tools,public,Internationalization package (executable tools),2025-07-02
95,libasprintf,public,C-style formatted output in C++,2025-07-02
96,libintl,public,library that provides native language support to programs,2025-07-02
97,libasprintf-devel,public,Decomposed printf argument list,2025-07-02
98,libgettextpo,public,library for interfacing programmatically with GNU gettext .po files,2025-07-02
99,gettext,public,Internationalization package,2025-07-02
100,libgettextpo-devel,public,library for interfacing programmatically with GNU gettext .po files,2025-07-02
101,libintl-devel,public,library that provides native language support to programs,2025-07-02
102,lsstdesc-smokescreen,public,Smokescreen: DESC Blinding Unified Library. Based on the Muir et al. (2021) data-vector blinding method.,2025-07-02
103,granian-with-rloop,public,A Rust HTTP server for Python applications,2025-07-02
104,granian-with-uvloop,public,A Rust HTTP server for Python applications,2025-07-02
105,granian-with-reload,public,A Rust HTTP server for Python applications,2025-07-02
106,granian-with-pname,public,A Rust HTTP server for Python applications,2025-07-02
107,granian-with-all,public,A Rust HTTP server for Python applications,2025-07-02
108,granian-with-dotenv,public,A Rust HTTP server for Python applications,2025-07-02
109,biomart,public,Python API that consumes the biomart webservice,2025-07-02
110,pytest-factoryboy,public,Factory Boy support for pytest.,2025-07-02
111,tip,public,Fast IRIG 106 Chapter 10 CLI parser/translator,2025-07-02
112,tad-mctc,public,Torch Autodiff Utility,2025-07-02
113,collate-sqlfluff,public,The SQL Linter for Humans,2025-07-02
114,stripe,public,Python bindings for the Stripe API,2025-07-02
115,jupyterlite,public,JupyterLite metapackage,2025-07-02
116,python-uv,public,"An extremely fast Python package and project manager, written in Rust. (with python)",2025-07-02
117,ollama,public,Ollama CLI,2025-07-02
118,bayesian-optimization,public,Pure Python implementation of bayesian global optimization with gaussian processes.,2025-07-02
119,galpy,public,Galactic Dynamics in python,2025-07-02
120,cctbx-base,public,The Computational Crystallography Toolbox,2025-07-02
121,cctbx,public,The Computational Crystallography Toolbox,2025-07-02
122,dssp,public,Application to assign secondary structure to proteins,2025-07-02
123,sagemaker-core,public,An python package for sagemaker core functionalities,2025-07-02
124,hddm-wfpt,public,Cython likelihood functions for the Drift Diffusion Model.,2025-07-02
125,kafka-python,public,Pure Python client for Apache Kafka,2025-07-02
126,torchio,public,"Tools for loading, augmenting and writing 3D medical images on PyTorch.",2025-07-02
127,r-invgamma,public,"Light weight implementation of the standard distribution functions for the inverse gamma distribution, wrapping those for the gamma distribution in the stats package.",2025-07-02
128,cellpose,public,anatomical segmentation algorithm,2025-07-02
129,optuna-dashboard,public,Real-time dashboard for Optuna.,2025-07-02
130,oxlint,public,Linter for oxc,2025-07-02
131,conda-forge-tick,public,Flagship repo for cf-regro-autotick-bot,2025-07-02
132,bioimageio.core,public,Python functionality for the bioimage model zoo,2025-07-02
133,polars-xdt,public,Polars plugin offering eXtra stuff for DateTimes,2025-07-02
134,dask-ms,public,Implementation of a dask/xarray dataset backed by a CASA MS,2025-07-02
135,rsspolymlp,public,A framework for random structure search using polynomial MLPs,2025-07-02
136,moyopy,public,Python binding of Moyo,2025-07-02
137,alpaca-py,public,The Official Python SDK for Alpaca APIs,2025-07-02
138,clusterscope,public,clusterscope is a python library to extract core information from HPC Clusters,2025-07-02
139,ccxt-py,public,A JavaScript / Python / PHP / C# / Go library for cryptocurrency trading and e-commerce,2025-07-02
140,collate-data-diff,public,Command-line tool and Python library to efficiently diff rows across two different databases.,2025-07-02
141,uv,public,"An extremely fast Python package installer and resolver, written in Rust.",2025-07-02
142,svgdigitizer,public,svgdigitizer is a Python library and command line tool to recover the measured data underlying plots in scientific publications.,2025-07-02
143,pytest-xdist,public,py.test xdist plugin for distributed testing and loop-on-failing modes,2025-07-02
144,cime_gen_domain,public,The gen_domain tool from Common Infrastructure for Modeling the Earth (CIME),2025-07-02
145,prisma-language-server,public,Implements language-server-protocol for Prisma,2025-07-02
146,mirakuru,public,Process executor (not only) for tests.,2025-07-02
147,amazon-braket-sdk,public,An open source library for interacting with quantum computing devices on Amazon Braket,2025-07-02
148,pymunk,public,Pymunk is a easy-to-use pythonic 2d physics library,2025-07-02
149,prophecy-build-tool,public,Prophecy-build-tool (PBT) provides utilities to build and distribute projects created from the Prophecy IDE.,2025-07-02
150,r-ggbreak,public,An implementation of scale functions for setting axis breaks of a 'gg' plot.,2025-07-02
151,pyroma,public,Test your project's packaging friendliness,2025-07-02
152,pdpipe,public,Easy pipelines for pandas.,2025-07-02
153,deepinv,public,Pytorch library for solving inverse problems with deep learning,2025-07-02
154,feast,public,Python SDK for Feast,2025-07-02
155,dartpy,public,The DART (Dynamic Animation and Robotics Toolkit) library provides data structures and algorithms for kinematic and dynamic applications in robotics and computer animation.,2025-07-02
156,dartsim,public,The DART (Dynamic Animation and Robotics Toolkit) library provides data structures and algorithms for kinematic and dynamic applications in robotics and computer animation.,2025-07-02
157,dartsim-cpp,public,The DART (Dynamic Animation and Robotics Toolkit) library provides data structures and algorithms for kinematic and dynamic applications in robotics and computer animation.,2025-07-02
158,onnxconverter-common,public,Common utilities for ONNX converters,2025-07-02
159,jq,public,A command-line JSON processor.,2025-07-02
160,r-aplot,public,"For many times, we are not just aligning plots as what 'cowplot' and 'patchwork' did. Users would like to align associated information that requires axes to be exactly matched in subplots, e.g. hierarchical clustering with a heatmap. This package provides utilities to aligns associated subplots to a main plot at different sides (left, right, top and bottom) with axes exactly matched.",2025-07-02
161,polyfactory,public,Mock data generation factories,2025-07-02
162,python-chromedriver-binary,public,Downloads and installs the chromedriver binary version,2025-07-02
163,hypothesis,public,A library for property based testing,2025-07-02
164,sahi,public,A vision library for performing sliced inference on large images/small objects,2025-07-02
165,dotenvx,public,a better dotenv–from the creator of `dotenv`,2025-07-02
166,mistral-common,public,Set of tools to help you work with Mistral models,2025-07-02
167,tyro,public,"Strongly typed, zero-effort CLI interfaces",2025-07-02
168,unstructured,public,A library that prepares raw documents for downstream ML tasks.,2025-07-02
169,openinference-instrumentation-langchain,public,OpenInference LangChain Instrumentation,2025-07-02
170,pdbufr,public,Extracts data from a BUFR file as a Pandas DataFrame using ecCodes,2025-07-02
171,osv-scanner,public,Vulnerability scanner written in Go which uses the data provided by https://osv.dev,2025-07-02
172,deepgraph,public,Analyze Data with Pandas-based Networks.,2025-07-02
173,arize-phoenix,public,ML Observability in your notebook,2025-07-02
174,gcloud-aio-pubsub,public,Python Client for Google Cloud Pub/Sub,2025-07-02
175,google-cloud-aiplatform,public,Vertex AI API client library,2025-07-02
176,pqrs,public,Command line tool for inspecting Parquet files,2025-07-02
177,ydb,public,YDB Python SDK,2025-07-02
178,anyscale,public,Command Line Interface for Anyscale,2025-07-02
179,itables,public,Pandas and Polars DataFrames as Interactive DataTables,2025-07-02
180,intel-gmmlib,public,Intel(R) Graphics Memory Management Library,2025-07-02
181,pytensor,public,An optimizing compiler for evaluating mathematical expressions.,2025-07-02
182,pytensor-base,public,An optimizing compiler for evaluating mathematical expressions.,2025-07-02
183,xcube-stac,public,xcube-stac provides a data store for accessing data from STAC (SpatioTemporal Asset Catalogs).,2025-07-02
184,google-genai,public,GenAI Python SDK,2025-07-02
185,pokeget,public,A better rust version of pokeget,2025-07-02
186,deepsearch-glm,public,Create fast graph language models from converted PDF documents for knowledge extraction and Q&A.,2025-07-02
187,pferd,public,Programm zum Flotten Einfachen Runterladen von Dateien,2025-07-02
188,ptyrad,public,PtyRAD: Ptychographic Reconstruction with Automatic Differentiation,2025-07-02
189,jupyter_ydoc,public,Document structures for collaborative editing using Ypy,2025-07-02
190,eodag,public,Earth Observation Data Access Gateway,2025-07-02
191,eodag-server,public,Earth Observation Data Access Gateway,2025-07-02
192,eslint,public,Find and fix problems in your JavaScript code.,2025-07-02
193,pytorch-cpu,public,PyTorch is an optimized tensor library for deep learning using GPUs and CPUs.,2025-07-02
194,gtsam,public,GTSAM is a library of C++ classes that implement smoothing and mapping (SAM) in robotics and vision,2025-07-02
195,dash-mantine-components,public,Custom dash components based on Mantine React Components library,2025-07-02
196,r-ottr,public,"An R autograding extension for Otter-Grader (<https://otter-grader.readthedocs.io>). It supports grading R scripts, R Markdown documents, and R Jupyter Notebooks.",2025-07-02
197,specta,public,Dashboarding tool for JupyterLite,2025-07-02
198,pybase64,public,Fast Base64 encoding/decoding in Python,2025-07-02
199,coin3d,public,Coin3D is a C++ high-level 3D graphics toolkit.,2025-07-02
200,unsloth,public,2-5X faster LLM finetuning,2025-07-02
201,stellarphot,public,A package for performing stellar photometry.,2025-07-02
202,awscli,public,Universal Command Line Environment for AWS.,2025-07-02
203,icechunk,public,Transactional storage engine for Zarr designed for use on cloud object storage,2025-07-02
204,boto3,public,Amazon Web Services SDK for Python,2025-07-02
205,dbt-protos,public,Public proto bindings for dbt,2025-07-02
206,mypy_boto3_rds,public,"Type annotations for boto3.RDS 1.39.1 service, generated by mypy-boto3-builder",2025-07-02
207,pycolmap,public,"pycolmap exposes to Python most COLMAP reconstruction objects, such as Cameras and Points3D, as well as estimators for absolute and relative poses.",2025-07-02
208,r-fitdistrplus,public,"Extends the fitdistr() function (of the MASS package) with several functions to help the fit of a parametric distribution to non-censored or censored data. Censored data may contain left censored, right censored and interval censored values, with several lower and upper bounds. In addition to maximum likelihood estimation (MLE), the package provides moment matching (MME), quantile matching (QME) and maximum goodness-of-fit estimation (MGE) methods (available only for non-censored data). Weighted versions of MLE, MME and QME are available. See e.g. Casella & Berger (2002). Statistical inference. Pacific Grove.",2025-07-02
209,chaospy,public,Toolbox for performing uncertainty quantification,2025-07-02
210,aiida-pseudo,public,AiiDA plugin that simplifies working with pseudo potentials.,2025-07-02
211,litserve,public,Lightweight AI server.,2025-07-02
212,riff,public,A diff filter highlighting which line parts have changed,2025-07-02
213,terraform-provider-google,public,The Terraform Google provider,2025-07-02
214,architect-cli,public,Executable for running an Architect Builder.,2025-07-01
215,scipy-typed,public,Precise type hints for all of SciPy.,2025-07-01
216,scipy-stubs,public,Precise type hints for all of SciPy.,2025-07-01
217,botocore,public,"Low-level, data-driven core of boto 3.",2025-07-01
218,pymrio,public,A python module for automating input output calculations and generating reports,2025-07-01
219,nsidc-iceflow,public,Harmonized access to (pre)OIB/IceSAT/IceSAT2 data,2025-07-01
220,mwparserfromhell,public,MWParserFromHell is a parser for MediaWiki wikicode.,2025-07-01
221,sqlmesh,public,Efficient data transformation and modeling framework that is backwards compatible with dbt.,2025-07-01
222,boto3-stubs-lite-essential,public,"Type annotations for boto3 1.39.1, generated with mypy-boto3-builder",2025-07-01
223,boto3-stubs-lite,public,"Type annotations for boto3 1.39.1, generated with mypy-boto3-builder",2025-07-01
224,pytest-qt,public,pytest support for PyQt and PySide applications,2025-07-01
225,progress,public,Easy progress reporting for Python,2025-07-01
226,libopenssl-static,public,OpenSSL is an open-source implementation of the SSL and TLS protocols,2025-07-01
227,openssl,public,OpenSSL is an open-source implementation of the SSL and TLS protocols,2025-07-01
228,anthropic,public,Library for accessing the anthropic API,2025-07-01
229,azure-ai-ml,public,Microsoft Azure Machine Learning Client Library for Python,2025-07-01
230,unsloth_zoo,public,Utils for Unsloth,2025-07-01
231,traceloop-sdk,public,Traceloop Software Development Kit (SDK) for Python,2025-07-01
232,organizeit2,public,Engage with Zorp!,2025-07-01
233,requests-negotiate-sspi,public,Windows SSPI-based Negotiate authentication support for Requests,2025-07-01
234,unstructured-client,public,Python Client SDK for Unstructured API,2025-07-01
235,mplhep,public,Matplotlib styles for HEP,2025-07-01
236,fastjet-cxx-python,public,FastJet: jet finding in pp and e+e- collisions,2025-07-01
237,fastjet-cxx,public,FastJet: jet finding in pp and e+e- collisions,2025-07-01
238,gplately,public,Object-orientated Python interface to pyGPlates for plate tectonic reconstructions,2025-07-01
239,obstore,public,"Simple, fast integration with Amazon S3, Google Cloud Storage, Azure Storage, and S3-compliant APIs like Cloudflare R2.",2025-07-01
240,arelle-release,public,"Arelle is an end-to-end open source XBRL platform, which provides the XBRL community with an easy to use set of tools. It supports XBRL and its extension features in an extensible manner. It does this in a compact yet robust framework that can be used as a desktop application and can be integrated with other applications and languages utilizing its web service.",2025-07-01
241,hgdl,public,API for Distributed HPC Function Optimization,2025-07-01
242,apache-beam,public,Apache Beam: An advanced unified programming model,2025-07-01
243,json-repair,public,A package to repair broken json strings,2025-07-01
244,apache-beam-with-tensorflow-hub,public,Apache Beam: An advanced unified programming model,2025-07-01
245,apache-beam-with-azure,public,Apache Beam: An advanced unified programming model,2025-07-01
246,apache-beam-with-dataframe,public,Apache Beam: An advanced unified programming model,2025-07-01
247,apache-beam-with-aws,public,Apache Beam: An advanced unified programming model,2025-07-01
248,apache-beam-with-dask,public,Apache Beam: An advanced unified programming model,2025-07-01
249,apache-beam-with-torch,public,Apache Beam: An advanced unified programming model,2025-07-01
250,apache-beam-with-yaml,public,Apache Beam: An advanced unified programming model,2025-07-01
251,apache-beam-with-gcp,public,Apache Beam: An advanced unified programming model,2025-07-01
252,opentofu,public,OpenTofu lets you declaratively manage your cloud infrastructure.,2025-07-01
253,sciris,public,"Fast, flexible tools to simplify scientific Python",2025-07-01
254,conda-forge-pinning,public,The baseline versions of software for the conda-forge ecosystem,2025-07-01
255,logtalk-jupyter-kernel,public,Hercutalk - A Jupyter Kernel for Logtalk,2025-07-01
256,module-qc-database-tools,public,Python wrapper to interface with LocalDB and Production DB for common tasks for pixel modules.,2025-07-01
257,airflow-supervisor,public,Supervisor operators and configuration for long-running tasks,2025-07-01
258,sentence-transformers,public,Sentence Embeddings using BERT / RoBERTa / XLNet,2025-07-01
259,gdal,public,GDAL is a translator library for raster and vector geospatial data formats that is released under an X/MIT style Open Source license by the Open Source Geospatial Foundation.,2025-07-01
260,libgdal-pg,public,Vector driver PG for the Geospatial Data Abstraction Library (GDAL),2025-07-01
261,libgdal-kea,public,Raster driver KEA for the Geospatial Data Abstraction Library (GDAL),2025-07-01
262,libgdal,public,GDAL is a translator library for raster and vector geospatial data formats that is released under an X/MIT style Open Source license by the Open Source Geospatial Foundation.,2025-07-01
263,libgdal-core-devel,public,GDAL is a translator library for raster and vector geospatial data formats that is released under an X/MIT style Open Source license by the Open Source Geospatial Foundation.,2025-07-01
264,libgdal-core,public,GDAL is a translator library for raster and vector geospatial data formats that is released under an X/MIT style Open Source license by the Open Source Geospatial Foundation.,2025-07-01
265,libgdal-heif,public,Raster driver HEIF for the Geospatial Data Abstraction Library (GDAL),2025-07-01
266,libgdal-fits,public,Raster driver FITS for the Geospatial Data Abstraction Library (GDAL),2025-07-01
267,libgdal-tiledb,public,Raster driver TileDB for the Geospatial Data Abstraction Library (GDAL),2025-07-01
268,libgdal-hdf5,public,Raster driver HDF5 for the Geospatial Data Abstraction Library (GDAL),2025-07-01
269,libgdal-xls,public,Vector driver XLS for the Geospatial Data Abstraction Library (GDAL),2025-07-01
270,libgdal-arrow-parquet,public,Arrow and Parquet drivers for the Geospatial Data Abstraction Library (GDAL),2025-07-01
271,libgdal-jp2openjpeg,public,Raster driver JP2OpenJPEG for the Geospatial Data Abstraction Library (GDAL),2025-07-01
272,libgdal-netcdf,public,Raster driver netCDF for the Geospatial Data Abstraction Library (GDAL),2025-07-01
273,libgdal-avif,public,Raster driver AVIF for the Geospatial Data Abstraction Library (GDAL),2025-07-01
274,libgdal-postgisraster,public,Raster driver PostGIS for the Geospatial Data Abstraction Library (GDAL),2025-07-01
275,libgdal-pdf,public,Raster driver PDF for the Geospatial Data Abstraction Library (GDAL),2025-07-01
276,libgdal-grib,public,Raster driver GRIB for the Geospatial Data Abstraction Library (GDAL),2025-07-01
277,libgdal-hdf4,public,Raster driver HDF4 for the Geospatial Data Abstraction Library (GDAL),2025-07-01
278,tomoatt,public,Adjoint-state Travel-Time Tomography,2025-07-01
279,photochem_clima_data,public,Data for Photochem and Clima packages,2025-07-01
280,libgdal-adbc,public,Vector driver ADBC for the Geospatial Data Abstraction Library (GDAL),2025-07-01
281,pymomentum,public,A library for human kinematic motion and numerical optimization solvers to apply human motion,2025-07-01
282,momentum-cpp,public,A library for human kinematic motion and numerical optimization solvers to apply human motion,2025-07-01
283,momentum,public,A library for human kinematic motion and numerical optimization solvers to apply human motion,2025-07-01
284,pymomentum-cpu,public,A library for human kinematic motion and numerical optimization solvers to apply human motion,2025-07-01
285,selectolax,public,Fast HTML5 parser with CSS selectors.,2025-07-01
286,supervisor-pydantic,public,Pydantic models for supervisor,2025-07-01
287,quackosm,public,An open-source tool for reading OpenStreetMap PBF files using DuckDB,2025-07-01
288,langchain-groq,public,An integration package connecting Groq and LangChain,2025-07-01
289,batman-package,public,Fast transit light curve modeling,2025-07-01
290,aws-cdk.cx-api,public,Cloud executable protocol,2025-07-01
291,torchsurv,public,Deep survival analysis made easy with pytorch,2025-07-01
292,libmongocxx,public,The mongocxx is a ground-up rewrite of a C++ driver for MongoDB based on libmongoc.,2025-07-01
293,mkdocs-bibtex,public,An MkDocs plugin that enables managing citations with BibTex,2025-07-01
294,alibabacloud-tea-xml,public,The tea-xml module of alibabaCloud Python SDK.,2025-07-01
295,globus-sdk,public,Globus SDK for Python,2025-07-01
296,cfn-lint,public,Checks CloudFormation templates for practices and behaviour that could potentially be improved,2025-07-01
297,vercel-cli,public,"Vercel's frontend cloud gives developers frameworks, workflows, and infrastructure to build a faster, more personalized web.",2025-07-01
298,sqlglot,public,An easily customizable SQL parser and transpiler,2025-07-01
299,sqlglot-rs,public,An easily customizable SQL parser and transpiler,2025-07-01
300,oci-cli,public,Oracle Cloud Infrastructure CLI,2025-07-01
301,sdv,public,"Synthetic Data Generation for tabular, relational and time series data.",2025-07-01
302,typos-lsp,public,"Source code spell checker for Visual Studio Code, Neovim and other LSP clients",2025-07-01
303,bigframes,public,BigQuery DataFrames -- scalable analytics and machine learning with BigQuery,2025-07-01
304,narwhals,public,"Extremely lightweight compatibility layer between pandas, Polars, cuDF, and Modin",2025-07-01
305,pymomentum-gpu,public,A library for human kinematic motion and numerical optimization solvers to apply human motion,2025-07-01
306,coiled,public,Deploy Dask cluster using Coiled Cloud,2025-07-01
307,just,public,just is a handy way to save and run project-specific commands.,2025-07-01
308,schema-engine-cli,public,Engine components of Prisma ORM,2025-07-01
309,lerna,public,lerna is a collection of plugins and extensions for hydra,2025-07-01
310,verapdf,public,Command line and GUI industry supported PDF/A and PDF/UA Validation,2025-07-01
311,syncthing,public,Open Source Continuous File Synchronization,2025-07-01
312,ipyslides,public,Live rich content slides in jupyter notebook,2025-07-01
313,openmetadata-managed-apis,public,Airflow REST APIs to create and manage DAGS,2025-07-01
314,airflow-ha,public,High Availability (HA) DAG Utility,2025-07-01
315,graphviz,public,Open Source graph visualization software.,2025-07-01
316,libdwarf-dev,public,a library for manipulating DWARF Debugging Information Format (headers & dev stuff),2025-07-01
317,dwarfdump,public,utility dumping DWARF Debugging Information Format to text,2025-07-01
318,libdwarf,public,a library for manipulating DWARF Debugging Information Format (runtime .so),2025-07-01
319,supabase,public,Python Client for Supabase,2025-07-01
320,ptarcade,public,PTArcade provides an interface to the ENTERPRISE analysis suite and allows for simple implementation of new-physics searches in PTA data.,2025-07-01
321,icub-main-python,public,The iCub Main Software Repository,2025-07-01
322,libicub-main,public,The iCub Main Software Repository,2025-07-01
323,icub-main,public,The iCub Main Software Repository,2025-07-01
324,storage3,public,Python Client library to interact with Supabase Storage,2025-07-01
325,airflow-common-operators,public,Common Airflow Operators / Tasks,2025-07-01
326,airflow-config,public,Airflow utilities for configuration of many DAGs and DAG environments,2025-07-01
327,drf-spectacular-sidecar,public,Serve self-contained distribution builds of Swagger UI and Redoc with Django,2025-07-01
328,libopenvino-intel-cpu-plugin,public,OpenVINO Intel® CPU plugin,2025-07-01
329,libopenvino-dev,public,OpenVINO C++ / C Runtime & Development files,2025-07-01
330,libopenvino-ir-frontend,public,OpenVINO IR Frontend,2025-07-01
331,libopenvino-paddle-frontend,public,OpenVINO Paddle Frontend,2025-07-01
332,libopenvino-auto-batch-plugin,public,OpenVINO Auto Batch plugin,2025-07-01
333,libopenvino,public,OpenVINO Core Runtime library,2025-07-01
334,libopenvino-tensorflow-lite-frontend,public,OpenVINO TensorFlow Lite Frontend,2025-07-01
